City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
442,Horta,PT,74.84,scattered clouds,38.5333,-28.6333,Hotel do Canal
443,Weno,FM,80.55,moderate rain,7.4515,151.8468,Kurassa Hotel
445,Quelimane,MZ,66.15,shower rain,-17.8786,36.8883,Hotel Flamingo
449,Port Blair,IN,78.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
451,Willowmore,ZA,63.75,clear sky,-33.2926,23.4895,Jumper's Place
452,Hudson,US,82.98,overcast clouds,40.7168,-74.0663,Ramada by Wyndham Jersey City
453,Bou Arkoub,TN,76.23,broken clouds,36.5385,10.5509,huilerie et mise en bouteille al rajhi et ferjani
454,Arakli,TR,78.89,few clouds,40.9385,40.0584,Ferah Hotel
456,Cabedelo,BR,84.87,clear sky,-6.9811,-34.8339,Pousada Camboinha
457,Palmi,IT,75.85,scattered clouds,38.3653,15.8615,Hotel Residence Arcobaleno
458,Onega,RU,53.46,few clouds,63.9061,38.1404,Lunny Kot Guest House
459,Casino,AU,54.57,clear sky,-28.8667,153.05,Squatters Homestead Motel
460,Birjand,IR,81.07,clear sky,32.8663,59.2211,Birjand Tourist Hotel
461,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
463,Rio Grande,BR,68.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
465,Huarmey,PE,74.57,clear sky,-10.0681,-78.1522,Hotel Miramar
466,Santiago De Cao,PE,73.53,fog,-7.9589,-79.2392,Casa de la tía
467,North Bend,US,75.92,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
470,Katoya,IN,84.45,overcast clouds,23.65,88.1333,VetaraPara
471,Dakhla,EH,75.22,clear sky,23.6848,-15.958,Annexe Bougouffa
472,Port Saint John'S,ZA,66.24,clear sky,-31.6229,29.5448,Amapondo Backpackers
473,Taltal,CL,66.85,few clouds,-25.4,-70.4833,Residencial Karime
474,Menongue,AO,65.95,clear sky,-14.6585,17.691,Ritz Lauca
475,Cole Harbour,CA,70.99,overcast clouds,44.6724,-63.4751,The Fairfield
476,Bernay,FR,60.69,overcast clouds,49.1667,0.6667,le logis de brionne
479,Morondava,MG,73.2,light rain,-20.2833,44.2833,La Case Bambou
481,Prince Rupert,CA,64.49,overcast clouds,54.3161,-130.3201,Crest Hotel
482,Dampit,ID,65.5,scattered clouds,-8.2116,112.7493,Kos Bu Heny
483,Letlhakeng,BW,56.19,scattered clouds,-24.0944,25.0298,.
484,Piti Village,GU,77.31,clear sky,13.4626,144.6933,McFerran Residence
485,Khovd,MN,73.53,overcast clouds,48.0056,91.6419,Hotel Buyant
486,Rafah,PS,80.58,clear sky,31.287,34.2595,هشام قطوم
487,Kununurra,AU,60.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
489,Yaval,IN,76.46,clear sky,21.1667,75.7,Hotel Jalsa
490,Loralai,PK,77.13,clear sky,30.3705,68.598,Saddam Hotel & Resturant
492,Yinchuan,CN,70.43,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
493,Raduzhny,RU,53.4,overcast clouds,62.0961,77.475,Gostiny Dvor Evgeniya
494,Puerto La Cruz,VE,83.68,light rain,10.2167,-64.6167,Hotel Colon S.R.L
495,Soio,AO,72.66,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
496,Nowa Deba,PL,72.84,heavy intensity rain,50.4297,21.7508,Restauracja i Hotel Dębianka wesela & przyjęcia
497,Shiraz,IR,81.84,clear sky,29.6036,52.5388,Shams Hotel
498,Batticaloa,LK,80.71,overcast clouds,7.7102,81.6924,Treatooo Hotel
499,Bandar Lampung,ID,72.77,overcast clouds,-5.4254,105.258,Hotel Anugerah Express Lampung
502,Santa Fe,AR,73.99,clear sky,-31.6333,-60.7,Conquistador Hotel
503,Chernyshevskiy,RU,57.9,scattered clouds,63.0128,112.4714,Chernyseyskiy
504,Sassnitz,DE,60.8,overcast clouds,54.5167,13.65,Kurhotel Sassnitz
505,Salatiga,ID,72.19,scattered clouds,-7.3319,110.4928,Hotel Le Beringin
506,Howard Springs,AU,67.91,clear sky,-12.497,131.047,BIG4 Howard Springs Holiday Park
509,Claveria,PH,80.6,heavy intensity rain,18.6074,121.0832,Casa Grand Inn By The Sea
511,Phan Rang-Thap Cham,VN,79.48,overcast clouds,11.5667,108.9833,Anh Dao Hotel
513,Harper,LR,76.57,overcast clouds,4.375,-7.7169,Screensaver
514,Broome,US,77.09,overcast clouds,42.2506,-75.833,Chenango Valley State Park
515,Clarion,US,81.18,overcast clouds,41.2148,-79.3853,Hampton Inn Clarion
516,Charters Towers,AU,56.03,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
517,Inhambane,MZ,66.18,light rain,-23.865,35.3833,Oceano
518,Richards Bay,ZA,65.64,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
519,Saudarkrokur,IS,51.87,few clouds,65.7461,-19.6394,Arctic Hotels - Hótel Tindastóll & Annex
522,Mumford,GH,76.26,few clouds,5.2618,-0.759,Peace Guest House
523,San Martin,AR,68.54,clear sky,-33.081,-68.4681,Finca Vivencias
524,Phan Thiet,VN,78.69,light rain,10.9333,108.1,Hotel Saigon-PT
525,Korem,ET,55.26,moderate rain,12.5058,39.5228,Lakomeliza Hotel
526,Zirc,HU,57.69,light rain,47.2636,17.8737,Hotel Szarvaskút és Kemencés Étterem
528,Hailar,CN,55.9,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
529,Staryy Sambir,UA,67.03,overcast clouds,49.4386,23.0006,Saltzbork
531,Gambela,ET,78.93,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
532,Clorinda,AR,82.56,broken clouds,-25.2848,-57.7185,Saint Martin Residential
